theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
AllOfMe_F_V,mingus,0,1,26,0.500000,0.692308,3.250000,3.243736,12.000000,0.000000,0.000000,0.000000,0.247002
AllOfMe_F_V,mingus,1,0,25,0.480000,0.800000,3.125000,2.888884,14.000000,0.000000,0.000000,0.000000,0.022679
AllOfMe_F_V,mingus,1,1,23,0.391304,0.826087,2.875000,3.000973,23.000000,0.000000,0.000000,0.000000,0.214973
AllOfMe_F_V,bebopnet,0,0,38,0.289474,0.605263,4.750000,3.389265,14.000000,0.062500,0.030303,0.000000,0.233665
AllOfMe_F_V,bebopnet,0,1,104,0.326923,0.519231,13.000000,3.544553,28.000000,0.067416,0.031250,0.010204,0.623694
AllOfMe_F_V,bebopnet,1,0,126,0.277778,0.523810,15.750000,3.287583,24.000000,0.051020,0.000000,0.000000,0.466310
AllOfMe_F_V,bebopnet,1,1,166,0.277108,0.554217,20.750000,3.507166,20.000000,0.029851,0.000000,0.000000,0.644083
AloneIntheMorning_III,cmt,0,0,28,0.107143,0.714286,3.500000,2.121105,5.000000,0.136364,0.041667,0.000000,0.370491
AloneIntheMorning_III,cmt,0,1,27,0.555556,0.629630,3.375000,2.671011,14.000000,0.041667,0.000000,0.000000,0.336973
AloneIntheMorning_III,cmt,0,2,29,0.620690,0.896552,3.625000,2.264360,8.000000,0.238095,0.045455,0.000000,-0.035248
AloneIntheMorning_III,cmt,0,3,34,0.470588,0.617647,4.250000,2.855866,8.000000,0.000000,0.000000,0.000000,0.465741
AloneIntheMorning_III,cmt,1,0,8,0.125000,0.500000,1.000000,1.750000,3.000000,0.000000,0.000000,0.000000,0.676265
AloneIntheMorning_III,cmt,1,1,9,0.333333,0.555556,1.125000,2.197160,7.000000,0.000000,0.000000,0.000000,0.781129
AloneIntheMorning_III,cmt,1,2,36,0.750000,0.944444,4.500000,2.601025,17.000000,0.000000,0.000000,0.000000,0.320045
AloneIntheMorning_III,cmt,1,3,21,0.809524,0.904762,2.625000,2.067131,5.000000,0.000000,0.000000,0.000000,0.097519
AloneIntheMorning_III,mingus,0,0,28,0.321429,0.500000,3.500000,2.976600,10.000000,0.000000,0.000000,0.000000,0.232338
AloneIntheMorning_III,mingus,0,1,30,0.366667,0.466667,3.750000,3.215922,12.000000,0.000000,0.000000,0.000000,0.228869
AloneIntheMorning_III,mingus,1,0,29,0.344828,0.655172,3.625000,3.076895,14.000000,0.000000,0.000000,0.000000,0.378995
AloneIntheMorning_III,mingus,1,1,22,0.318182,0.545455,2.750000,2.845351,10.000000,0.000000,0.000000,0.000000,0.136728
AloneIntheMorning_III,bebopnet,0,0,30,0.233333,0.700000,3.750000,3.127421,23.000000,0.000000,0.000000,0.000000,0.391265
AloneIntheMorning_III,bebopnet,0,1,121,0.371901,0.611570,15.125000,3.458079,15.000000,0.009091,0.000000,0.000000,0.747620
AloneIntheMorning_III,bebopnet,1,0,101,0.346535,0.623762,12.625000,3.450113,14.000000,0.070588,0.021053,0.000000,0.407709
AloneIntheMorning_III,bebopnet,1,1,169,0.278107,0.544379,21.125000,3.467561,15.000000,0.046980,0.012121,0.006098,0.584747
Ambidextrous_I,cmt,0,0,37,0.270270,0.756757,4.625000,2.495768,10.000000,0.000000,0.000000,0.000000,0.359877
Ambidextrous_I,cmt,0,1,27,0.444444,0.925926,3.375000,2.305296,18.000000,0.000000,0.000000,0.000000,0.612617
Ambidextrous_I,cmt,0,2,46,0.847826,0.978261,5.750000,1.623529,7.000000,0.000000,0.000000,0.000000,0.528409
Ambidextrous_I,cmt,0,3,26,,,3.250000,2.385793,10.000000,0.000000,0.000000,0.000000,0.087207
Ambidextrous_I,cmt,0,4,30,,,3.750000,3.043019,15.000000,0.000000,0.000000,0.000000,0.255606
Ambidextrous_I,cmt,1,0,24,0.375000,0.666667,3.000000,2.682817,12.000000,0.000000,0.000000,0.000000,0.537276
Ambidextrous_I,cmt,1,1,15,0.733333,1.000000,1.875000,1.989898,12.000000,0.000000,0.000000,0.000000,0.218122
Ambidextrous_I,cmt,1,2,24,0.416667,0.875000,3.000000,2.401364,12.000000,0.000000,0.000000,0.000000,0.430755
Ambidextrous_I,cmt,1,3,27,,,3.375000,2.609845,10.000000,0.000000,0.000000,0.000000,0.347782
Ambidextrous_I,cmt,1,4,26,,,3.250000,2.992502,19.000000,0.217391,0.181818,0.142857,0.247454
Ambidextrous_I,mingus,0,0,31,0.387097,0.709677,3.875000,3.259702,12.000000,0.000000,0.000000,0.000000,0.199080
Ambidextrous_I,mingus,0,1,28,0.285714,0.607143,3.500000,3.056657,17.000000,0.000000,0.000000,0.000000,0.490206
Ambidextrous_I,mingus,0,2,27,0.259259,0.666667,3.375000,3.189530,23.000000,0.041667,0.000000,0.000000,0.696624
Ambidextrous_I,mingus,1,0,26,0.269231,0.615385,3.250000,3.130097,21.000000,0.000000,0.000000,0.000000,0.433776
Ambidextrous_I,mingus,1,1,19,0.421053,0.578947,2.375000,3.110578,13.000000,0.000000,0.000000,0.000000,0.296909
Ambidextrous_I,mingus,1,2,36,0.277778,0.722222,4.500000,3.147870,10.000000,0.000000,0.000000,0.000000,0.641139
Ambidextrous_I,bebopnet,0,0,93,0.333333,0.602151,11.625000,3.556047,16.000000,0.000000,0.000000,0.000000,0.473943
Ambidextrous_I,bebopnet,0,1,69,0.304348,0.594203,8.625000,3.457587,20.000000,0.000000,0.000000,0.000000,0.557034
Ambidextrous_I,bebopnet,0,2,113,0.283186,0.663717,14.125000,3.494067,18.000000,0.009709,0.000000,0.000000,0.612270
Ambidextrous_I,bebopnet,1,0,56,0.285714,0.482143,7.000000,3.451011,13.000000,0.000000,0.000000,0.000000,0.296415
Ambidextrous_I,bebopnet,1,1,116,0.370690,0.568966,14.500000,3.346742,11.000000,0.011364,0.000000,0.000000,0.582113
Ambidextrous_I,bebopnet,1,2,101,0.297030,0.603960,12.625000,3.429435,24.000000,0.000000,0.000000,0.000000,0.591110
BigBlues_IV_Part-1,cmt,0,0,24,0.416667,0.791667,3.000000,2.147317,5.000000,0.055556,0.000000,0.000000,0.357345
BigBlues_IV_Part-1,cmt,0,1,26,0.692308,0.423077,3.250000,2.214702,13.000000,0.045455,0.000000,0.000000,0.360117
BigBlues_IV_Part-1,cmt,0,2,32,0.593750,0.625000,4.000000,2.965018,19.000000,0.000000,0.000000,0.000000,0.405338
BigBlues_IV_Part-1,cmt,0,3,24,0.416667,0.791667,3.000000,2.147317,5.000000,0.055556,0.000000,0.000000,0.357345
BigBlues_IV_Part-1,cmt,1,0,17,0.529412,0.705882,2.125000,2.380430,15.000000,0.000000,0.000000,0.000000,0.347492
BigBlues_IV_Part-1,cmt,1,1,36,0.361111,0.472222,4.500000,2.644244,10.000000,0.000000,0.000000,0.000000,0.568988
BigBlues_IV_Part-1,cmt,1,2,17,0.529412,0.470588,2.125000,2.654255,15.000000,0.000000,0.000000,0.000000,0.239356
BigBlues_IV_Part-1,cmt,1,3,17,0.529412,0.705882,2.125000,2.380430,15.000000,0.000000,0.000000,0.000000,0.347492
BigBlues_IV_Part-1,mingus,0,0,37,0.459459,0.621622,4.625000,3.309976,14.000000,0.000000,0.000000,0.000000,0.326626
BigBlues_IV_Part-1,mingus,0,1,19,0.526316,0.789474,2.375000,3.155565,12.000000,0.000000,0.000000,0.000000,0.212569
BigBlues_IV_Part-1,mingus,0,2,32,0.531250,0.593750,4.000000,3.239416,14.000000,0.000000,0.000000,0.000000,0.594349
BigBlues_IV_Part-1,mingus,1,0,20,0.550000,0.750000,2.500000,3.003702,16.000000,0.062500,0.000000,0.000000,-0.026521
BigBlues_IV_Part-1,mingus,1,1,19,0.368421,0.789474,2.375000,3.115834,21.000000,0.000000,0.000000,0.000000,0.278193
BigBlues_IV_Part-1,mingus,1,2,24,0.500000,0.583333,3.000000,3.256867,10.000000,0.000000,0.000000,0.000000,0.194051
BigBlues_IV_Part-1,bebopnet,0,0,44,0.363636,0.613636,5.500000,3.203559,12.000000,0.025000,0.000000,0.000000,0.735159
BigBlues_IV_Part-1,bebopnet,0,1,86,0.441860,0.662791,10.750000,3.357780,16.000000,0.012821,0.000000,0.000000,0.405682
BigBlues_IV_Part-1,bebopnet,1,0,107,0.392523,0.542056,13.375000,3.433753,25.000000,0.010870,0.000000,0.000000,0.631414
BigBlues_IV_Part-1,bebopnet,1,1,163,0.509202,0.693252,20.375000,3.495904,24.000000,0.013423,0.000000,0.000000,0.487191
BirksWorks_IV_Part-2,cmt,0,0,41,0.341463,0.731707,5.125000,2.673450,17.000000,0.000000,0.000000,0.000000,0.166472
BirksWorks_IV_Part-2,cmt,1,0,56,0.357143,0.482143,7.000000,2.827858,10.000000,0.022727,0.000000,0.000000,0.268247
BirksWorks_IV_Part-2,bebopnet,0,0,47,0.319149,0.553191,5.875000,2.895024,10.000000,0.250000,0.195122,0.142857,0.293735
BirksWorks_IV_Part-2,bebopnet,1,0,95,0.273684,0.568421,11.875000,3.425377,15.000000,0.146667,0.102273,0.067416,0.388730
BirksWorks_V,cmt,0,0,41,0.341463,0.731707,5.125000,2.673450,17.000000,0.000000,0.000000,0.000000,0.166472
BirksWorks_V,cmt,1,0,56,0.357143,0.482143,7.000000,2.827858,10.000000,0.022727,0.000000,0.000000,0.268247
BirksWorks_V,bebopnet,0,0,73,0.315068,0.520548,9.125000,3.293512,15.000000,0.156250,0.117647,0.088235,0.269654
BirksWorks_V,bebopnet,1,0,95,0.273684,0.568421,11.875000,3.425377,15.000000,0.146667,0.102273,0.067416,0.388730
Blue Moon_II,cmt,0,0,20,0.600000,0.950000,2.500000,1.812888,10.000000,0.071429,0.062500,0.000000,0.309371
Blue Moon_II,cmt,0,1,44,0.659091,0.909091,5.500000,2.241254,8.000000,0.093750,0.000000,0.000000,0.378990
Blue Moon_II,cmt,0,2,41,0.560976,0.780488,5.125000,2.712540,10.000000,0.000000,0.000000,0.000000,0.159018
Blue Moon_II,cmt,0,3,19,0.684211,0.894737,2.375000,2.331803,10.000000,0.125000,0.000000,0.000000,0.439822
Blue Moon_II,cmt,1,0,4,0.750000,1.000000,0.500000,0.811278,2.000000,0.000000,,,1.000000
Blue Moon_II,cmt,1,1,12,0.583333,1.000000,1.500000,1.825011,5.000000,0.222222,0.125000,0.000000,0.643719
Blue Moon_II,cmt,1,2,33,0.515152,0.666667,4.125000,2.907142,14.000000,0.000000,0.000000,0.000000,0.233009
Blue Moon_II,cmt,1,3,4,0.750000,1.000000,0.500000,1.500000,5.000000,0.000000,,,0.981981
Blue Moon_II,mingus,0,0,39,0.435897,0.846154,4.875000,3.155212,26.000000,0.083333,0.028571,0.000000,0.388010
Blue Moon_II,mingus,0,1,25,0.320000,0.760000,3.125000,3.204889,18.000000,0.000000,0.000000,0.000000,0.311678
Blue Moon_II,mingus,1,0,26,0.384615,0.846154,3.250000,3.045842,35.000000,0.000000,0.000000,0.000000,0.325548
Blue Moon_II,mingus,1,1,19,0.263158,0.578947,2.375000,3.050302,14.000000,0.062500,0.000000,0.000000,0.687381
Blue Moon_II,bebopnet,0,0,54,0.592593,0.907407,6.750000,2.722340,11.000000,0.571429,0.485714,0.447368,0.408903
Blue Moon_II,bebopnet,0,1,42,0.261905,0.761905,5.250000,3.139856,15.000000,0.135135,0.078947,0.054054,0.163402
Blue Moon_II,bebopnet,0,2,77,0.389610,0.584416,9.625000,3.502513,22.000000,0.000000,0.000000,0.000000,0.348030
Blue Moon_II,bebopnet,0,3,129,0.310078,0.643411,16.125000,3.484635,16.000000,0.035714,0.000000,0.000000,0.439749
