step,elapsed_sec,lr,val_loss,val_nll,val_p_top1,val_d_top1,val_p_entropy,val_d_entropy
76000,2141.67,0.0009440682244067723,4.075778943317913,4.075778943317913,33.26800533627079,39.511707176113525,4.865742707662351,1.4235666240116656
80000,2255.41,0.0009381533400219318,4.100611520901755,4.100611520901755,32.80157083263747,39.257187310689716,4.8659377591031925,1.3979021535798792
84000,2370.1,0.0009319617085964177,4.14261373515375,4.14261373515375,32.868627741553055,39.03119441938598,4.865775298054712,1.3995230719826952
88000,2482.31,0.000925497240897346,4.194723428320305,4.194723428320305,32.4470213387517,38.851882047715385,4.865751546872178,1.3744475727612688
92000,2594.11,0.0009187640200210709,4.193203780406597,4.193203780406597,32.63893005447976,38.73258743783604,4.865724716514402,1.396552160073118
96000,2706.25,0.0009117662988142137,4.22003831043707,4.22003831043707,32.341064028013506,38.527341446257516,4.8657234359790955,1.36518821456267
100000,2817.99,0.0009045084971874737,4.22187602829495,4.22187602829495,32.60855067580426,38.48103141083686,4.865825956363825,1.3685333382680562
104000,2930.02,0.0008969951993239178,4.242293458586977,4.242293458586977,32.4907380014181,38.45472732344957,4.865673620996209,1.364113382623262
108000,3042.29,0.0008892311507835117,4.302172353187113,4.302172353187113,32.20546827966388,38.34765855509922,4.8656652170168835,1.3290359226994495
112000,3155.02,0.000881221255505724,4.3250290796611175,4.3250290796611175,31.66345584645523,38.30171903238257,4.865755127305877,1.3265366262985392
116000,3266.86,0.0008729705727120911,4.318007742333991,4.318007742333991,32.07283640139613,38.243183167643565,4.865722687511523,1.3255665792257176
120000,3378.94,0.0008644843137107057,4.311680458986908,4.311680458986908,32.26919087091705,37.847510378870936,4.865650399167932,1.3373097671018102
124000,3491.05,0.0008557678386046428,4.3622659859603585,4.3622659859603585,32.009484294355445,38.17464433770669,4.865604638855487,1.3224322509963482
128000,3602.82,0.0008468266529064026,4.403317131512817,4.403317131512817,31.880557193993532,37.9979253071331,4.865600928174863,1.2956758278958107
132000,3715.08,0.0008376664040605122,4.424120819688762,4.424120819688762,31.897599284155664,37.37625964107638,4.865559665112363,1.3136773161444355
136000,3827.12,0.0008282928778764782,4.406817002118376,4.406817002118376,31.708283937790018,37.43072020842185,4.8656404646741755,1.3212374295295168
140000,3939.14,0.0008187119948743449,4.4139075312589,4.4139075312589,32.12989033154644,37.708580316476876,4.865595724177064,1.2839602731570168
144000,4050.96,0.0008089298065451671,4.412447595398456,4.412447595398456,32.14730289732837,37.79638410431433,4.865559155996127,1.3079453459419155
148000,4163.56,0.0007989524915287594,4.463073599091209,4.463073599091209,32.0854327289466,37.098029046547644,4.865572728980697,1.2860180528473415
152000,4275.61,0.0007887863517111338,4.518604843815757,4.518604843815757,31.70791345538652,36.94353883355485,4.865500334811479,1.2874880935005273
156000,4387.94,0.0007784378082440939,4.502544217372549,4.502544217372549,31.127371073814984,37.23547716756933,4.865680816403916,1.2834529839963975
160000,4500.08,0.0007679133974894983,4.545119097109864,4.545119097109864,31.43042383199623,37.11692354375255,4.865606433029491,1.251001354993697
164000,4612.76,0.0007572197668907532,4.500673714939065,4.500673714939065,31.503408416856587,37.183239488313376,4.865603433449592,1.2638039341464717
168000,4724.71,0.0007463636707741459,4.503260654264042,4.503260654264042,31.71272970673313,36.76200355480038,4.865574505064851,1.2845183743622153
172000,4836.86,0.0007353519660826664,4.587006123446118,4.587006123446118,31.824614707887985,36.21776822852749,4.865355207853651,1.2996124939446485
176000,4948.87,0.0007241916080450163,4.57075069395833,4.57075069395833,31.38337285664213,36.71495258080302,4.865530259946994,1.2587241201197246
180000,5061.02,0.0007128896457825364,4.589292626248073,4.589292626248073,31.351882030530025,36.24592472612328,4.86559143699551,1.2512146607332846
184000,5173.11,0.0007014532178568313,4.607085240742266,4.607085240742266,31.353363955169296,36.81609366190243,4.86558307015691,1.2244718780161434
